Item,Reference,Qty,Unit Cost,Total Cost,Supplier,Link,Notes
PCB minimum production order,PCB,2,72.00,144.00,TBD,TBD,Team estimate; confirm quote details before ordering
9g micro servo motors,M1 M2,2,4.00,8.00,MakerTech Store,https://www.makertechstore.com/products/9g-micro-servo-motor,Drives the two leg linkages
OV2640 camera,CAM1,1,5.00,5.00,Amazon/Taidacent,https://www.amazon.com/Taidacent-Million-Wide-Angle-Interface-Standard/dp/B08XJZZ287/ref=sr_1_1?sr=8-1,Camera module for clips or snapshots
AS02504AR speaker,LS1,1,5.00,5.00,DigiKey,https://www.digikey.ch/en/products/detail/pui-audio-inc/AS02504AR/24385606,Speaker for voice notes and alerts
1S 3.7 V LiPo battery,J1,1,6.00,6.00,Kiwi Electronics,https://www.kiwi-electronics.com/en/lithium-polymer-li-po-battery-3-7v-500mah-2200?country=,Battery size and connector fit still need mechanical confirmation
ER-TFT1.54-2 display panels,U7 U9 U10 U12,4,6.00,24.00,eBay,https://www.ebay.com/itm/306891693859,Four face/display panels
